name,city,phone,age,ssn,email
John,Austin,(555) 555-7873,18,123-45-6789,john@example.com
Nick,New York,(555) 555-8823,25,987-65-4321,nick@example.com
Paul,Sydney,(555) 555-9032,35,456-78-9012,paul@example.com
Jo,Austin,(555) 555-9120,45,321-54-9876,jo@example.com
Larry,Chicago,(555) 555-3022,23,159-73-2648,larry@example.com
James,Portland,(555) 555-3299,23,753-19-8524,james@example.com
Smith,Denver,(555) 555-2313,17,369-87-2145,smith@example.com
Rob,Boston,(555) 555-3124,90,258-96-3147,rob@example.com
Kate,Dallas,(555) 555-3214,40,741-25-8963,kate@example.com
Tim,Miami,(555) 555-3123,50,852-14-3697,tim@example.com
