customerId,name,city,phone,age,ssn,email
C01,xxxx,Austin,xxxxxxxxxxx,18,xxxxxxxxx,xxxxxxxxxxxxxxxxx
C02,xxxx,New York,xxxxxxxxxxx,25,xxxxxxxxx,xxxxxxxxxxxxxxxxx
C03,xxxx,Sydney,xxxxxxxxxxx,35,xxxxxxxxx,xxxxxxxxxxxxxxxxx
C04,xx,Austin,xxxxxxxxxxx,45,xxxxxxxxx,xxxxxxxxxxxxxxxxx
C05,xxxxx,Chicago,xxxxxxxxxxx,23,xxxxxxxxx,xxxxxxxxxxxxxxxxxx
C06,xxxxx,Portland,xxxxxxxxxxx,23,xxxxxxxxx,xxxxxxxxxxxxxxxxxx
C07,xxxxx,Denver,xxxxxxxxxxx,17,xxxxxxxxx,xxxxxxxxxxxxxxxxxxx
C08,xxx,Boston,xxxxxxxxxxx,90,xxxxxxxxx,xxxxxxxxxxxxxxxx
C09,xxxx,Dallas,xxxxxxxxxxx,40,xxxxxxxxx,xxxxxxxxxxxxxxxxx
C10,xxx,Miami,xxxxxxxxxxx,50,xxxxxxxxx,xxxxxxxxxxxxxxx
